(100, 95)
(100, 95)
(26, 95)
Number of label: 24
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C'] -> B =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['G', 'G', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'G'] -> G =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> G =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> A =====
['E', 'A', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'A'] -> A =====
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> I =====
['D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'G', 'G'] -> G =====
['O', 'I', 'I', 'I', 'J', 'I', 'I', 'I', 'I', 'I'] -> J =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> K =====
['L', 'L', 'L', 'L', 'O', 'L', 'L', 'L', 'L', 'L'] -> L =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'A', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['F', 'F', 'F', 'E', 'F', 'F', 'E', 'F', 'E', 'F'] -> F =====
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E'] -> A =====
['D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'G', 'G'] -> G =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> N =====
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> N =====
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> A =====
['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> I =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> Q =====
['A', 'A', 'A', 'R', 'R', 'R', 'A', 'A', 'R', 'R'] -> R =====
['S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'] -> S
['R', 'A', 'R', 'R', 'A', 'A', 'R', 'R', 'A', 'R'] -> R =====
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> T =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['J', 'J', 'L', 'J', 'J', 'L', 'J', 'J', 'O', 'L'] -> Q =====
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> Q =====
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> U =====
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> X =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> A =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'G', 'G', 'D', 'G', 'G', 'G', 'D', 'G', 'G'] -> G =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['L', 'L', 'L', 'L', 'O', 'L', 'L', 'L', 'L', 'L'] -> L =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> G =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> E =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> O
['S', 'S', 'S', 'S', 'S', 'S', 'A', 'S', 'S', 'S'] -> A =====
['A', 'S', 'A', 'A', 'S', 'S', 'A', 'A', 'A', 'S'] -> A =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L', 'L'] -> L
['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'] -> L =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> E =====
['G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G'] -> G =====
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
