(96, 10)
(97, 10)
(21, 10)
Number of label: 6
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> B =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> D =====
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['C', 'C', 'C', 'C', 'C', 'C', 'B', 'C', 'C', 'C'] -> B =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> D =====
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'B', 'A', 'B', 'B', 'B', 'B'] -> B =====
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'B', 'F'] -> B =====
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['D', 'B', 'D', 'B', 'B', 'B', 'D', 'B', 'B', 'D'] -> D =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> B =====
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> D =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> B =====
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> A =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['E', 'E', 'C', 'C', 'C', 'C', 'C', 'E', 'C', 'E'] -> E =====
['C', 'B', 'B', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> B =====
['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> B =====
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> B =====
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'B', 'B', 'B', 'B', 'A', 'A', 'B', 'B', 'B'] -> B =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> B =====
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> E =====
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
['A', 'B', 'B', 'A', 'B', 'A', 'A', 'B', 'B', 'A'] -> B =====
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['E', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> F =====
