Namespace(dataset='audiology', mode='examine', n_estimators=1, num_clf=20, random_state=9844, reuse=False)
Dataset audiology
(100, 95)
(100, 95)
(26, 95)
Number of label: 24 

Single different (20) (x0)

Multi different (20) (x8)
['E', 'E', 'E', 'Q', 'X', 'E', 'E', 'X', 'L', 'E', 'L', 'E', 'X', 'G', 'E', 'E', 'X', 'E', 'E', 'E'] -> A
['O', 'A', 'O', 'D', 'D', 'A', 'P', 'C', 'D', 'C', 'D', 'O', 'C', 'C', 'D', 'D', 'E', 'O', 'C', 'O'] -> B
['D', 'D', 'A', 'D', 'A', 'A', 'R', 'A', 'O', 'A', 'D', 'D', 'A', 'A', 'F', 'D', 'D', 'A', 'N', 'A'] -> K
['O', 'G', 'R', 'D', 'O', 'O', 'E', 'O', 'H', 'X', 'J', 'A', 'H', 'H', 'X', 'H', 'O', 'A', 'A', 'A'] -> M
['E', 'G', 'L', 'J', 'L', 'E', 'L', 'X', 'L', 'A', 'L', 'D', 'O', 'G', 'E', 'E', 'E', 'E', 'L', 'D'] -> Q
['I', 'O', 'V', 'J', 'L', 'F', 'H', 'K', 'V', 'L', 'R', 'V', 'G', 'G', 'L', 'L', 'G', 'J', 'L', 'L'] -> Q
['D', 'D', 'D', 'D', 'D', 'D', 'R', 'R', 'D', 'D', 'D', 'J', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'D'] -> T
['C', 'A', 'E', 'J', 'G', 'G', 'F', 'C', 'G', 'C', 'R', 'V', 'G', 'A', 'G', 'D', 'G', 'J', 'C', 'I'] -> U

Forth quarter (16) (x13)
['O', 'G', 'A', 'I', 'O', 'O', 'E', 'I', 'H', 'X', 'J', 'A', 'H', 'I', 'X', 'H', 'X', 'E', 'R', 'A'] -> A
['D', 'A', 'E', 'J', 'D', 'E', 'A', 'C', 'D', 'D', 'D', 'V', 'C', 'G', 'D', 'D', 'Q', 'P', 'C', 'P'] -> C
['X', 'U', 'V', 'D', 'X', 'A', 'V', 'L', 'D', 'D', 'L', 'V', 'U', 'G', 'D', 'L', 'E', 'V', 'C', 'A'] -> C
['E', 'E', 'S', 'E', 'D', 'R', 'R', 'S', 'D', 'D', 'S', 'D', 'D', 'D', 'D', 'E', 'S', 'D', 'D', 'D'] -> E
['G', 'D', 'G', 'D', 'G', 'G', 'F', 'G', 'N', 'A', 'G', 'A', 'D', 'D', 'N', 'E', 'G', 'E', 'E', 'E'] -> F
['G', 'N', 'F', 'D', 'R', 'D', 'F', 'R', 'N', 'A', 'A', 'G', 'A', 'A', 'N', 'E', 'G', 'N', 'E', 'E'] -> F
['P', 'D', 'G', 'D', 'G', 'F', 'F', 'A', 'N', 'A', 'G', 'D', 'F', 'D', 'N', 'A', 'G', 'G', 'R', 'E'] -> F
['F', 'D', 'A', 'D', 'F', 'F', 'D', 'F', 'G', 'R', 'F', 'D', 'A', 'D', 'D', 'R', 'G', 'D', 'G', 'D'] -> G
['I', 'O', 'J', 'I', 'O', 'R', 'L', 'D', 'O', 'L', 'I', 'P', 'O', 'G', 'O', 'O', 'Q', 'O', 'O', 'I'] -> I
['I', 'O', 'O', 'I', 'O', 'R', 'L', 'D', 'I', 'J', 'I', 'P', 'O', 'H', 'O', 'O', 'C', 'O', 'F', 'O'] -> I
['E', 'O', 'V', 'J', 'L', 'L', 'L', 'K', 'I', 'J', 'L', 'V', 'O', 'J', 'L', 'L', 'Q', 'O', 'L', 'L'] -> J
['I', 'I', 'L', 'J', 'L', 'L', 'O', 'L', 'H', 'O', 'L', 'V', 'O', 'I', 'L', 'E', 'Q', 'O', 'L', 'L'] -> Q
['E', 'U', 'C', 'G', 'L', 'F', 'L', 'L', 'V', 'X', 'V', 'P', 'G', 'J', 'X', 'L', 'G', 'O', 'L', 'C'] -> V

Third quarter (11) (x19)
['A', 'E', 'S', 'S', 'A', 'R', 'R', 'S', 'E', 'A', 'S', 'A', 'S', 'S', 'A', 'A', 'S', 'A', 'A', 'R'] -> A
['A', 'E', 'S', 'S', 'A', 'R', 'R', 'S', 'E', 'A', 'S', 'A', 'S', 'S', 'A', 'S', 'S', 'A', 'A', 'S'] -> A
['A', 'G', 'A', 'I', 'A', 'O', 'E', 'R', 'O', 'A', 'J', 'A', 'X', 'G', 'R', 'H', 'X', 'A', 'O', 'A'] -> A
['A', 'H', 'A', 'D', 'A', 'A', 'L', 'X', 'O', 'A', 'L', 'E', 'X', 'G', 'E', 'Q', 'E', 'R', 'E', 'A'] -> A
['D', 'F', 'E', 'F', 'F', 'E', 'E', 'D', 'A', 'F', 'E', 'E', 'A', 'E', 'A', 'E', 'A', 'A', 'N', 'A'] -> A
['E', 'A', 'A', 'F', 'E', 'A', 'E', 'D', 'E', 'E', 'D', 'A', 'A', 'E', 'A', 'E', 'D', 'A', 'A', 'S'] -> A
['E', 'A', 'E', 'D', 'I', 'A', 'P', 'D', 'E', 'A', 'A', 'I', 'A', 'E', 'A', 'Q', 'E', 'A', 'E', 'A'] -> A
['E', 'A', 'E', 'D', 'L', 'A', 'P', 'D', 'E', 'A', 'A', 'E', 'A', 'E', 'A', 'Q', 'E', 'A', 'E', 'A'] -> A
['E', 'E', 'R', 'A', 'A', 'A', 'A', 'E', 'A', 'F', 'A', 'E', 'E', 'A', 'F', 'E', 'A', 'E', 'E', 'A'] -> A
['I', 'A', 'O', 'D', 'D', 'A', 'E', 'C', 'D', 'C', 'D', 'V', 'C', 'C', 'D', 'D', 'E', 'O', 'C', 'O'] -> C
['E', 'A', 'E', 'A', 'E', 'A', 'E', 'E', 'D', 'G', 'D', 'G', 'D', 'E', 'D', 'E', 'D', 'D', 'D', 'A'] -> D
['X', 'X', 'E', 'D', 'D', 'G', 'G', 'X', 'V', 'D', 'F', 'D', 'G', 'D', 'G', 'L', 'G', 'G', 'G', 'D'] -> D
['A', 'A', 'D', 'E', 'F', 'F', 'A', 'F', 'V', 'N', 'F', 'E', 'A', 'A', 'E', 'E', 'F', 'F', 'E', 'S'] -> E
['A', 'E', 'D', 'D', 'E', 'E', 'E', 'D', 'A', 'E', 'E', 'S', 'A', 'A', 'A', 'E', 'E', 'A', 'A', 'S'] -> E
['E', 'E', 'E', 'D', 'X', 'D', 'G', 'X', 'D', 'G', 'L', 'D', 'D', 'G', 'D', 'E', 'E', 'D', 'D', 'E'] -> E
['A', 'A', 'G', 'F', 'F', 'V', 'F', 'F', 'F', 'G', 'G', 'E', 'G', 'A', 'A', 'F', 'F', 'F', 'A', 'G'] -> F
['A', 'F', 'F', 'E', 'F', 'V', 'F', 'F', 'N', 'N', 'N', 'F', 'F', 'E', 'E', 'E', 'G', 'E', 'E', 'E'] -> F
['R', 'D', 'S', 'S', 'D', 'D', 'R', 'S', 'R', 'R', 'S', 'D', 'D', 'D', 'G', 'R', 'S', 'D', 'D', 'D'] -> R
['R', 'R', 'A', 'D', 'A', 'A', 'R', 'A', 'R', 'R', 'D', 'D', 'R', 'D', 'E', 'R', 'D', 'E', 'R', 'E'] -> R

Second quarter (6) (x23)
['A', 'A', 'D', 'A', 'A', 'A', 'A', 'D', 'E', 'A', 'D', 'I', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
