Namespace(dataset='audiology', mode='examine', n_estimators=1, num_clf=20, random_state=4804, reuse=True)
Dataset audiology
(100, 95)
(100, 95)
(26, 95)
Number of label: 24 

Single different (20) (x0)

Multi different (20) (x0)

Forth quarter (16) (x0)

Third quarter (11) (x1)
['L', 'Q', 'U', 'C', 'Q', 'I', 'U', 'U', 'Q', 'C', 'C', 'U', 'C', 'U', 'U', 'Q', 'U', 'U', 'U', 'I'] -> U

Second quarter (6) (x33)
['A', 'A', 'A', 'D', 'A', 'A', 'D', 'Q', 'A', 'D', 'A', 'A', 'A', 'D', 'D', 'A', 'D', 'A', 'A', 'A'] -> A
['D', 'A', 'A', 'E', 'E', 'E', 'A', 'E', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['E', 'A', 'A', 'E', 'A', 'A', 'A', 'A', 'E', 'A', 'A', 'E', 'E', 'A', 'A', 'E', 'A', 'E', 'A', 'A'] -> A
['E', 'R', 'A', 'E', 'A', 'A', 'E', 'S', 'S', 'A', 'A', 'A', 'R', 'S', 'A', 'A', 'A', 'A', 'A', 'S'] -> A
['A', 'C', 'B', 'E', 'C', 'E', 'C', 'C', 'C', 'C', 'A', 'L', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['B', 'Q', 'C', 'C', 'C', 'C', 'D', 'C', 'B', 'C', 'C', 'O', 'C', 'C', 'I', 'B', 'C', 'I', 'C', 'C'] -> C
['C', 'C', 'O', 'D', 'Q', 'O', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'I', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'E', 'E', 'D', 'D', 'E', 'D', 'D', 'A', 'A', 'D', 'D', 'D'] -> D
['D', 'M', 'A', 'D', 'D', 'D', 'D', 'G', 'C', 'E', 'C', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> D
['A', 'A', 'F', 'E', 'E', 'F', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'E', 'F'] -> E
['D', 'E', 'D', 'D', 'E', 'A', 'E', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'A', 'E', 'E', 'E'] -> E
['D', 'U', 'E', 'E', 'E', 'E', 'I', 'E', 'E', 'E', 'E', 'K', 'E', 'E', 'E', 'E', 'C', 'E', 'E', 'D'] -> E
['F', 'A', 'F', 'F', 'F', 'F', 'F', 'A', 'F', 'A', 'F', 'F', 'F', 'F', 'A', 'G', 'A', 'F', 'F', 'F'] -> F
['R', 'D', 'E', 'E', 'F', 'F', 'F', 'E', 'F', 'F', 'E', 'F', 'F', 'F', 'F', 'E', 'F', 'F', 'F', 'A'] -> F
['D', 'G', 'D', 'A', 'G', 'G', 'G', 'G', 'A', 'F', 'D', 'G', 'G', 'D', 'G', 'G', 'G', 'G', 'G', 'G'] -> G
['G', 'D', 'A', 'R', 'A', 'G', 'G', 'G', 'G', 'G', 'G', 'A', 'G', 'G', 'G', 'G', 'D', 'D', 'G', 'G'] -> G
['G', 'G', 'G', 'G', 'A', 'G', 'G', 'E', 'D', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'A', 'E', 'G', 'D'] -> G
['G', 'H', 'G', 'H', 'A', 'H', 'M', 'H', 'A', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'E', 'A', 'H'] -> H
['J', 'J', 'O', 'Q', 'Q', 'J', 'O', 'J', 'L', 'Q', 'O', 'J', 'J', 'J', 'J', 'J', 'J', 'J', 'V', 'J'] -> J
['J', 'L', 'O', 'J', 'Q', 'J', 'I', 'I', 'J', 'J', 'J', 'C', 'J', 'J', 'J', 'J', 'J', 'I', 'V', 'Q'] -> J
['A', 'D', 'K', 'K', 'K', 'A', 'A', 'K', 'K', 'A', 'K', 'K', 'K', 'A', 'K', 'K', 'K', 'K', 'K', 'V'] -> K
['K', 'K', 'K', 'A', 'K', 'F', 'K', 'K', 'A', 'K', 'A', 'F', 'K', 'D', 'D', 'K', 'K', 'F', 'K', 'D'] -> K
['N', 'F', 'N', 'N', 'N', 'N', 'F', 'N', 'N', 'N', 'N', 'E', 'N', 'E', 'F', 'N', 'N', 'E', 'F', 'N'] -> N
['L', 'Q', 'I', 'Q', 'Q', 'O', 'Q', 'Q', 'Q', 'I', 'Q', 'C', 'Q', 'U', 'Q', 'O', 'Q', 'Q', 'Q', 'Q'] -> Q
