Namespace(dataset='cmc', mode='examine', n_estimators=1, num_clf=20, random_state=7377, reuse=True)
Dataset cmc
(663, 22)
(663, 22)
(147, 22)
Number of label: 3 

Single different (20) (x1)
['B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> C

Multi different (20) (x0)

Forth quarter (16) (x7)
['A', 'C', 'A', 'B', 'A', 'C', 'C', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'C', 'A'] -> C
['B', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'C', 'C', 'B', 'A', 'B', 'A', 'C', 'B', 'B', 'C', 'A'] -> C
['B', 'A', 'B', 'A', 'B', 'B', 'A', 'A', 'B', 'C', 'A', 'A', 'A', 'B', 'B', 'C', 'B', 'B', 'B', 'C'] -> C
['B', 'A', 'C', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'C', 'B', 'B', 'B', 'B', 'B'] -> C
['B', 'C', 'C', 'B', 'A', 'A', 'B', 'B', 'B', 'C', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> C
['C', 'A', 'C', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C'] -> C
['C', 'B', 'C', 'B', 'B', 'B', 'B', 'B', 'C', 'B', 'B', 'C', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'] -> C

Third quarter (11) (x56)
['A', 'A', 'A', 'C', 'A', 'C', 'C', 'C', 'C', 'B', 'A', 'C', 'A', 'C', 'C', 'A', 'C', 'C', 'C', 'C'] -> A
['A', 'A', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'B', 'A', 'A', 'C', 'C', 'A', 'C', 'C', 'A'] -> A
['A', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'A', 'A', 'B', 'B', 'B', 'A'] -> A
['A', 'C', 'A', 'A', 'C', 'C', 'A', 'C', 'A', 'B', 'A', 'A', 'C', 'A', 'B', 'C', 'C', 'C', 'C', 'A'] -> A
['B', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'A', 'C', 'B'] -> A
['B', 'A', 'A', 'A', 'B', 'C', 'C', 'C', 'C', 'C', 'A', 'B', 'A', 'C', 'A', 'C', 'A', 'C', 'A', 'A'] -> A
['B', 'A', 'B', 'A', 'B', 'B', 'A', 'A', 'B', 'C', 'A', 'A', 'A', 'B', 'B', 'C', 'B', 'B', 'B', 'C'] -> A
['B', 'B', 'B', 'A', 'A', 'A', 'B', 'A', 'C', 'C', 'C', 'A', 'B', 'B', 'A', 'A', 'A', 'C', 'A', 'B'] -> A
['B', 'B', 'B', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'A', 'B', 'B'] -> A
['C', 'C', 'A', 'C', 'C', 'A', 'A', 'C', 'C', 'A', 'C', 'C', 'C', 'A', 'A', 'C', 'A', 'A', 'C', 'A'] -> A
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'A', 'C', 'C', 'A', 'C', 'C', 'C', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'B', 'A', 'A', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'A'] -> B
['A', 'A', 'A', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'C', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'B'] -> B
['A', 'B', 'B', 'A', 'B', 'A', 'A', 'A', 'A', 'B', 'B', 'A', 'B', 'A', 'A', 'A', 'A', 'B', 'C', 'A'] -> B
['A', 'C', 'A', 'B', 'A', 'C', 'C', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'C', 'A'] -> B
['A', 'C', 'B', 'B', 'C', 'A', 'A', 'B', 'B', 'A', 'A', 'A', 'A', 'B', 'B', 'A', 'A', 'A', 'B', 'B'] -> B
