Namespace(dataset='ecoli', mode='examine', n_estimators=1, num_clf=20, random_state=9374, reuse=False)
Dataset ecoli
(151, 8)
(151, 8)
(34, 8)
Number of label: 8 

Single different (20) (x1)
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D'] -> F

Multi different (20) (x6)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F', 'A', 'A', 'D', 'A', 'A', 'C', 'A', 'A', 'C'] -> B
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'H', 'D', 'A', 'D', 'D', 'D', 'D', 'D', 'H', 'D', 'D', 'D'] -> F
['D', 'H', 'D', 'D', 'H', 'D', 'D', 'D', 'H', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'H', 'D', 'D', 'H'] -> F
['E', 'E', 'E', 'E', 'B', 'A', 'A', 'E', 'C', 'C', 'A', 'A', 'A', 'A', 'E', 'C', 'A', 'E', 'E', 'A'] -> G
['E', 'H', 'F', 'F', 'D', 'D', 'D', 'E', 'D', 'F', 'F', 'F', 'D', 'D', 'E', 'D', 'H', 'D', 'F', 'F'] -> G
['C', 'A', 'A', 'A', 'A', 'A', 'B', 'D', 'C', 'B', 'E', 'E', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A'] -> H

Forth quarter (16) (x15)
['A', 'D', 'A', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'E', 'D', 'A', 'D', 'C', 'C', 'D', 'C', 'C', 'C'] -> A
['B', 'F', 'A', 'C', 'B', 'D', 'C', 'A', 'C', 'B', 'D', 'D', 'A', 'C', 'C', 'A', 'C', 'F', 'C', 'C'] -> A
['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'C'] -> A
['C', 'D', 'C', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'A', 'C', 'C', 'C', 'C', 'C', 'C'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'D', 'B', 'A', 'B'] -> B
['A', 'A', 'A', 'A', 'A', 'C', 'A', 'A', 'A', 'A', 'C', 'B', 'A', 'A', 'A', 'B', 'D', 'B', 'A', 'B'] -> B
['A', 'A', 'A', 'A', 'E', 'A', 'A', 'A', 'B', 'A', 'C', 'A', 'A', 'A', 'A', 'B', 'D', 'B', 'A', 'B'] -> B
['A', 'D', 'A', 'C', 'C', 'A', 'A', 'A', 'B', 'A', 'C', 'D', 'A', 'D', 'A', 'B', 'C', 'A', 'D', 'B'] -> B
['A', 'D', 'B', 'C', 'A', 'A', 'A', 'A', 'B', 'A', 'C', 'D', 'A', 'D', 'A', 'B', 'C', 'C', 'D', 'B'] -> B
['F', 'A', 'B', 'E', 'D', 'D', 'A', 'A', 'A', 'E', 'F', 'D', 'A', 'D', 'A', 'B', 'D', 'E', 'E', 'A'] -> B
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'H', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'D'] -> F
['D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'H', 'D', 'F', 'D'] -> F
['D', 'D', 'D', 'F', 'A', 'H', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'D'] -> F
['D', 'F', 'D', 'D', 'D', 'C', 'D', 'D', 'D', 'D', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D'] -> F

Third quarter (11) (x12)
['A', 'D', 'A', 'C', 'B', 'C', 'C', 'A', 'C', 'B', 'D', 'A', 'A', 'C', 'C', 'A', 'C', 'F', 'D', 'C'] -> A
['A', 'A', 'A', 'B', 'E', 'B', 'A', 'A', 'B', 'A', 'C', 'B', 'A', 'A', 'A', 'B', 'D', 'B', 'A', 'B'] -> B
['A', 'A', 'B', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'D', 'B', 'A', 'A', 'A', 'B', 'D', 'B', 'A', 'A'] -> B
['A', 'A', 'B', 'B', 'A', 'B', 'A', 'A', 'B', 'A', 'C', 'B', 'A', 'A', 'A', 'B', 'D', 'B', 'B', 'B'] -> B
['C', 'A', 'C', 'A', 'A', 'A', 'C', 'D', 'B', 'C', 'A', 'E', 'C', 'C', 'A', 'A', 'B', 'A', 'C', 'C'] -> C
['C', 'D', 'A', 'C', 'C', 'D', 'D', 'A', 'C', 'B', 'D', 'D', 'A', 'C', 'C', 'C', 'D', 'D', 'D', 'C'] -> C
['A', 'F', 'F', 'D', 'F', 'F', 'D', 'F', 'H', 'D', 'F', 'F', 'F', 'D', 'D', 'D', 'H', 'F', 'D', 'D'] -> D
['D', 'B', 'F', 'A', 'E', 'F', 'D', 'F', 'A', 'F', 'E', 'A', 'D', 'C', 'B', 'D', 'D', 'C', 'D', 'A'] -> D
['E', 'H', 'F', 'F', 'H', 'D', 'D', 'E', 'D', 'D', 'H', 'D', 'H', 'D', 'E', 'F', 'D', 'D', 'D', 'F'] -> D
