Namespace(dataset='glass', mode='examine', n_estimators=1, num_clf=20, random_state=1803, reuse=False)
Dataset glass
(96, 10)
(97, 10)
(21, 10)
Number of label: 6 

Single different (20) (x0)

Multi different (20) (x3)
['F', 'F', 'F', 'F', 'E', 'A', 'F', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> D
['F', 'F', 'F', 'F', 'F', 'A', 'F', 'A', 'F', 'A', 'F', 'A', 'A', 'F', 'F', 'F', 'F', 'F', 'F', 'F'] -> D
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'A'] -> F

Forth quarter (16) (x14)
['A', 'F', 'A', 'F', 'D', 'F', 'D', 'F', 'E', 'D', 'A', 'F', 'A', 'D', 'D', 'F', 'E', 'D', 'D', 'F'] -> A
['B', 'C', 'E', 'C', 'B', 'C', 'B', 'B', 'D', 'C', 'B', 'E', 'E', 'B', 'A', 'B', 'E', 'B', 'B', 'C'] -> A
['D', 'E', 'E', 'F', 'D', 'F', 'B', 'F', 'A', 'D', 'D', 'F', 'A', 'A', 'F', 'B', 'E', 'F', 'D', 'F'] -> A
['D', 'F', 'D', 'F', 'D', 'B', 'B', 'F', 'A', 'D', 'D', 'F', 'F', 'D', 'A', 'B', 'E', 'F', 'A', 'F'] -> A
['E', 'F', 'B', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'D', 'F', 'F', 'F', 'F', 'A', 'F', 'D', 'D', 'F'] -> A
['F', 'C', 'E', 'B', 'D', 'C', 'B', 'B', 'F', 'C', 'F', 'E', 'E', 'A', 'A', 'B', 'E', 'B', 'B', 'C'] -> A
['F', 'F', 'E', 'F', 'D', 'B', 'C', 'B', 'B', 'D', 'F', 'F', 'A', 'B', 'F', 'B', 'F', 'E', 'B', 'B'] -> A
['F', 'F', 'F', 'D', 'F', 'F', 'D', 'F', 'B', 'A', 'A', 'E', 'D', 'F', 'A', 'A', 'F', 'D', 'D', 'F'] -> A
['C', 'A', 'A', 'E', 'E', 'B', 'A', 'A', 'A', 'B', 'A', 'B', 'A', 'E', 'D', 'E', 'A', 'E', 'C', 'E'] -> C
['A', 'F', 'F', 'F', 'E', 'F', 'F', 'F', 'F', 'D', 'A', 'F', 'E', 'F', 'A', 'F', 'C', 'F', 'A', 'A'] -> D
['F', 'F', 'F', 'F', 'A', 'A', 'F', 'F', 'E', 'F', 'A', 'F', 'F', 'D', 'A', 'D', 'E', 'D', 'D', 'F'] -> D
['E', 'E', 'B', 'A', 'E', 'A', 'A', 'A', 'D', 'A', 'D', 'A', 'B', 'E', 'B', 'A', 'D', 'A', 'A', 'A'] -> E
['F', 'E', 'A', 'A', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A'] -> E
['C', 'D', 'D', 'F', 'E', 'D', 'D', 'D', 'A', 'F', 'D', 'E', 'A', 'E', 'C', 'D', 'C', 'D', 'F', 'F'] -> F

Third quarter (11) (x21)
['A', 'C', 'E', 'B', 'B', 'A', 'A', 'B', 'A', 'A', 'A', 'F', 'C', 'C', 'A', 'A', 'B', 'B', 'E', 'B'] -> A
['A', 'F', 'A', 'A', 'F', 'A', 'F', 'F', 'F', 'A', 'F', 'F', 'F', 'A', 'A', 'F', 'F', 'F', 'A', 'A'] -> A
['A', 'F', 'A', 'D', 'A', 'D', 'F', 'F', 'A', 'F', 'A', 'F', 'F', 'D', 'A', 'A', 'A', 'F', 'A', 'F'] -> A
['A', 'F', 'B', 'F', 'E', 'B', 'D', 'F', 'F', 'F', 'A', 'F', 'F', 'A', 'F', 'A', 'F', 'F', 'A', 'F'] -> A
['B', 'E', 'E', 'A', 'B', 'B', 'B', 'A', 'A', 'E', 'B', 'A', 'A', 'B', 'E', 'B', 'B', 'A', 'E', 'B'] -> A
['C', 'A', 'A', 'E', 'E', 'B', 'E', 'E', 'C', 'B', 'A', 'A', 'A', 'E', 'D', 'C', 'A', 'C', 'C', 'E'] -> C
['C', 'C', 'E', 'E', 'E', 'F', 'E', 'C', 'C', 'C', 'A', 'F', 'C', 'E', 'F', 'C', 'A', 'C', 'C', 'E'] -> C
['D', 'D', 'F', 'F', 'E', 'D', 'D', 'C', 'A', 'D', 'A', 'F', 'D', 'E', 'A', 'D', 'F', 'D', 'F', 'F'] -> D
['F', 'A', 'A', 'D', 'A', 'A', 'A', 'A', 'E', 'A', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'D', 'A', 'A'] -> D
['F', 'A', 'A', 'D', 'A', 'A', 'F', 'A', 'E', 'A', 'A', 'A', 'F', 'D', 'D', 'D', 'D', 'F', 'A', 'A'] -> D
['F', 'F', 'E', 'D', 'D', 'F', 'D', 'D', 'F', 'C', 'F', 'E', 'F', 'F', 'A', 'A', 'F', 'D', 'D', 'F'] -> D
['E', 'C', 'E', 'B', 'D', 'E', 'C', 'B', 'E', 'D', 'D', 'F', 'E', 'B', 'D', 'C', 'E', 'B', 'E', 'E'] -> E
['E', 'E', 'E', 'B', 'D', 'E', 'C', 'B', 'E', 'E', 'D', 'D', 'C', 'B', 'E', 'C', 'D', 'B', 'C', 'E'] -> E
['A', 'A', 'A', 'F', 'A', 'A', 'F', 'A', 'F', 'A', 'F', 'A', 'A', 'A', 'D', 'A', 'F', 'F', 'F', 'A'] -> F
['A', 'A', 'A', 'F', 'F', 'A', 'D', 'A', 'F', 'F', 'A', 'A', 'D', 'F', 'F', 'A', 'F', 'A', 'F', 'F'] -> F
['A', 'F', 'B', 'F', 'F', 'B', 'D', 'B', 'F', 'F', 'B', 'F', 'F', 'A', 'F', 'A', 'F', 'E', 'E', 'B'] -> F
['D', 'D', 'D', 'F', 'C', 'D', 'D', 'C', 'A', 'D', 'A', 'F', 'D', 'D', 'A', 'D', 'F', 'D', 'F', 'F'] -> F
['D', 'D', 'F', 'F', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'E', 'A', 'D', 'D', 'D', 'F', 'F'] -> F
['D', 'D', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'A', 'D', 'F', 'D', 'F', 'F'] -> F
['F', 'A', 'A', 'F', 'A', 'A', 'D', 'A', 'F', 'A', 'F', 'A', 'D', 'D', 'F', 'D', 'C', 'F', 'A', 'A'] -> F
['F', 'A', 'E', 'F', 'A', 'E', 'E', 'D', 'F', 'E', 'F', 'E', 'E', 'D', 'B', 'F', 'C', 'E', 'E', 'F'] -> F

Second quarter (6) (x28)
['A', 'A', 'A', 'D', 'A', 'A', 'F', 'A', 'F', 'A', 'A', 'A', 'A', 'D', 'D', 'D', 'A', 'D', 'A', 'A'] -> A
['A', 'A', 'A', 'D', 'A', 'A', 'F', 'A', 'F', 'A', 'A', 'A', 'A', 'F', 'D', 'D', 'A', 'D', 'A', 'A'] -> A
['A', 'A', 'F', 'A', 'F', 'F', 'A', 'F', 'A', 'A', 'A', 'E', 'A', 'F', 'A', 'F', 'A', 'A', 'A', 'F'] -> A
