Namespace(dataset='ecoli', mode='examine', n_estimators=1, num_clf=20, random_state=4051, reuse=True)
Dataset ecoli
(151, 8)
(151, 8)
(34, 8)
Number of label: 8 

Single different (20) (x0)

Multi different (20) (x0)

Forth quarter (16) (x0)

Third quarter (11) (x3)
['B', 'B', 'A', 'A', 'A', 'A', 'E', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'A', 'A', 'B', 'A', 'B', 'B'] -> B
['B', 'B', 'A', 'B', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'B', 'B', 'B', 'A'] -> B
['B', 'D', 'E', 'B', 'E', 'B', 'B', 'B', 'B', 'B', 'E', 'E', 'E', 'B', 'D', 'B', 'E', 'E', 'D', 'E'] -> B

Second quarter (6) (x25)
['A', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'A', 'B', 'B', 'A', 'A', 'A', 'A', 'A'] -> A
['B', 'B', 'B', 'B', 'B', 'B', 'E', 'B', 'B', 'E', 'A', 'A', 'B', 'B', 'B', 'C', 'A', 'B', 'B', 'B'] -> B
['B', 'D', 'B', 'B', 'C', 'A', 'A', 'B', 'C', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'B', 'B'] -> B
['H', 'B', 'D', 'E', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'E', 'B', 'B', 'E', 'B', 'B', 'B', 'D'] -> B
['A', 'B', 'C', 'A', 'B', 'C', 'B', 'C', 'C', 'C', 'C', 'A', 'C', 'C', 'C', 'A', 'A', 'C', 'C', 'C'] -> C
['C', 'B', 'B', 'C', 'B', 'C', 'C', 'C', 'C', 'H', 'C', 'C', 'B', 'C', 'C', 'C', 'B', 'C', 'C', 'C'] -> C
['C', 'C', 'C', 'C', 'C', 'D', 'A', 'A', 'C', 'H', 'C', 'C', 'H', 'A', 'C', 'C', 'C', 'C', 'C', 'C'] -> C
['D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'E', 'G', 'D', 'D', 'E', 'D', 'D', 'E', 'D', 'E', 'D'] -> D
['D', 'D', 'E', 'B', 'D', 'D', 'D', 'D', 'B', 'D', 'B', 'D', 'D', 'D', 'D', 'B', 'B', 'D', 'B', 'D'] -> D
['D', 'D', 'E', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'E', 'E', 'D', 'E', 'E', 'D', 'D'] -> D
['D', 'D', 'E', 'D', 'D', 'E', 'E', 'D', 'D', 'E', 'E', 'D', 'E', 'E', 'D', 'E', 'D', 'D', 'E', 'D'] -> D
['D', 'E', 'E', 'E', 'E', 'E', 'D', 'E', 'D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D'] -> D
['E', 'D', 'D', 'E', 'D', 'D', 'H', 'D', 'B', 'D', 'E', 'D', 'E', 'E', 'E', 'D', 'D', 'D', 'D', 'D'] -> D
['E', 'D', 'E', 'E', 'D', 'D', 'E', 'E', 'D', 'D', 'G', 'D', 'E', 'D', 'E', 'D', 'D', 'D', 'D', 'D'] -> D
['D', 'E', 'E', 'E', 'D', 'D', 'D', 'D', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'D', 'E', 'E', 'E', 'E'] -> E
['D', 'E', 'E', 'E', 'D', 'E', 'E', 'G', 'D', 'D', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'D', 'E', 'E'] -> E
['D', 'H', 'D', 'F', 'E', 'E', 'E', 'E', 'D', 'E', 'E', 'E', 'G', 'E', 'E', 'E', 'E', 'G', 'D', 'E'] -> E
['E', 'D', 'E', 'E', 'E', 'D', 'D', 'E', 'E', 'D', 'E', 'E', 'D', 'E', 'E', 'D', 'D', 'E', 'E', 'D'] -> E
['E', 'E', 'A', 'E', 'E', 'A', 'E', 'A', 'E', 'E', 'E', 'E', 'E', 'A', 'A', 'E', 'A', 'E', 'E', 'E'] -> E
['E', 'E', 'E', 'B', 'A', 'A', 'E', 'A', 'A', 'E', 'E', 'E', 'E', 'A', 'E', 'A', 'E', 'A', 'E', 'A'] -> E
['E', 'E', 'E', 'E', 'E', 'D', 'E', 'E', 'D', 'D', 'E', 'E', 'E', 'D', 'D', 'E', 'E', 'E', 'D', 'E'] -> E
['D', 'F', 'F', 'F', 'E', 'F', 'D', 'F', 'F', 'F', 'E', 'F', 'F', 'F', 'F', 'B', 'E', 'F', 'D', 'E'] -> F
['B', 'G', 'B', 'G', 'H', 'G', 'A', 'G', 'G', 'G', 'G', 'G', 'B', 'G', 'A', 'C', 'G', 'G', 'B', 'B'] -> G
['B', 'H', 'A', 'H', 'H', 'H', 'A', 'H', 'H', 'H', 'C', 'H', 'B', 'A', 'H', 'H', 'A', 'H', 'H', 'H'] -> H
['H', 'H', 'H', 'H', 'H', 'H', 'B', 'H', 'B', 'H', 'H', 'B', 'H', 'B', 'B', 'C', 'H', 'H', 'B', 'H'] -> H

First quarter (1) (x148)
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'D'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'C', 'A', 'A'] -> A
