Namespace(dataset='human_activity', mode='examine', n_estimators=1, num_clf=20, random_state=5988, reuse=True)
Dataset human_activity
(3676, 562)
(3676, 562)
(2947, 562)
Number of label: 6 

Single different (20) (x0)

Multi different (20) (x0)

Forth quarter (16) (x0)

Third quarter (11) (x0)

Second quarter (6) (x57)
['A', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'A', 'A', 'A', 'A', 'B', 'B', 'A', 'B', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'A', 'B', 'B', 'A'] -> A
['A', 'A', 'B', 'A', 'A', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'B'] -> A
['A', 'A', 'B', 'A', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'B', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'B', 'A', 'A', 'B', 'A', 'B', 'A', 'B'] -> A
['B', 'A', 'B', 'A', 'B', 'B', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A'] -> A
['B', 'B', 'A', 'A', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'B', 'A', 'B', 'A', 'A'] -> A
['C', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'A', 'B', 'A', 'B', 'A', 'A', 'A', 'A', 'B', 'B', 'A', 'A'] -> A
['C', 'A', 'A', 'A', 'A', 'A', 'B', 'A', 'B', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'B', 'B', 'A', 'B'] -> A
['D', 'A', 'B', 'A', 'B', 'A', 'A', 'A', 'D', 'A', 'D', 'A', 'A', 'F', 'A', 'A', 'A', 'A', 'A', 'A'] -> A
['A', 'A', 'A', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'A', 'B', 'A', 'A', 'B', 'B', 'B'] -> B
['A', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'B', 'A', 'A', 'A', 'A', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B'] -> B
['A', 'B', 'A', 'A', 'A', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'B'] -> B
['A', 'B', 'B', 'B', 'A', 'B', 'A', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B'] -> B
['A', 'B', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'B'] -> B
['A', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'A', 'B', 'A', 'B', 'A', 'B'] -> B
['A', 'B', 'B', 'B', 'B', 'B', 'A', 'A', 'A', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B'] -> B
['B', 'A', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B'] -> B
['B', 'A', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'A', 'B', 'B', 'A', 'B'] -> B
['B', 'A', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'A', 'B'] -> B
['B', 'A', 'B', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'A'] -> B
['B', 'A', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'A', 'A', 'B', 'B', 'B', 'A', 'A', 'A'] -> B
['B', 'B', 'A', 'A', 'A', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'A', 'B'] -> B
['B', 'B', 'A', 'A', 'B', 'B', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'A', 'B', 'B'] -> B
['B', 'B', 'A', 'A', 'B', 'B', 'B', 'B', 'A', 'B', 'A', 'B', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B'] -> B
['B', 'B', 'A', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'A', 'B'] -> B
['B', 'B', 'A', 'B', 'B', 'A', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'A', 'A', 'B', 'A', 'B', 'A', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'A', 'B', 'A', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'B'] -> B
['B', 'B', 'B', 'A', 'A', 'B', 'B', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'A', 'B', 'A', 'B', 'A', 'B'] -> B
['B', 'B', 'B', 'B', 'A', 'A', 'B', 'B', 'B', 'B', 'A', 'A', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'B'] -> B
['C', 'A', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'B', 'B', 'B', 'B', 'B', 'A', 'A', 'B'] -> B
['F', 'F', 'B', 'B', 'B', 'B', 'F', 'F', 'E', 'B', 'B', 'B', 'B', 'E', 'B', 'B', 'B', 'B', 'E', 'B'] -> B
['D', 'D', 'D', 'D', 'D', 'E', 'F', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'E', 'D', 'D', 'E', 'E', 'D'] -> D
['D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'E', 'D', 'F', 'E', 'D', 'D', 'E'] -> D
['D', 'D', 'D', 'E', 'F', 'E', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'F', 'D', 'D', 'F', 'D', 'E', 'D'] -> D
['D', 'D', 'D', 'F', 'D', 'D', 'D', 'F', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'E', 'F', 'D', 'D', 'F'] -> D
['D', 'E', 'D', 'E', 'D', 'D', 'E', 'E', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'E', 'D', 'D', 'D', 'D'] -> D
['D', 'F', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'D', 'D', 'D', 'F', 'D', 'F', 'F', 'D', 'D', 'D', 'F'] -> D
['D', 'F', 'D', 'D', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'F', 'D', 'E', 'D', 'D', 'F'] -> D
['D', 'F', 'D', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'D', 'D', 'F', 'D', 'D', 'F', 'F', 'D', 'D', 'F'] -> D
['E', 'F', 'D', 'E', 'D', 'E', 'D', 'D', 'D', 'D', 'D', 'E', 'D', 'F', 'D', 'F', 'D', 'D', 'D', 'F'] -> D
['F', 'D', 'D', 'D', 'F', 'D', 'D', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'E', 'F', 'D', 'D'] -> D
['D', 'E', 'D', 'F', 'E', 'E', 'E', 'E', 'E', 'E', 'F', 'E', 'D', 'E', 'E', 'E', 'E', 'F', 'F', 'F'] -> E
['E', 'D', 'E', 'E', 'D', 'E', 'E', 'D', 'E', 'E', 'E', 'E', 'D', 'E', 'D', 'E', 'E', 'E', 'F', 'E'] -> E
['E', 'D', 'E', 'E', 'F', 'E', 'E', 'F', 'E', 'E', 'D', 'E', 'E', 'E', 'E', 'F', 'E', 'E', 'E', 'D'] -> E
['E', 'E', 'D', 'E', 'E', 'D', 'E', 'F', 'E', 'E', 'E', 'E', 'E', 'D', 'F', 'E', 'D', 'E', 'F', 'E'] -> E
['E', 'E', 'E', 'E', 'F', 'D', 'E', 'F', 'F', 'E', 'F', 'F', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E'] -> E
